second,input,output,,
0.1175,5.51E+00,1.34E-01,,
0.118,5.70E+00,1.34E-01,,
0.1185,5.83E+00,1.34E-01,,
0.119,6.01E+00,1.34E-01,,
0.1195,6.20E+00,1.34E-01,,
0.12,6.26E+00,1.34E-01,,
0.1205,6.45E+00,1.34E-01,,
0.121,6.64E+00,1.34E-01,,
0.1215,6.83E+00,1.34E-01,,
0.122,6.89E+00,1.34E-01,,
0.1225,7.08E+00,1.34E-01,,
0.123,7.20E+00,1.34E-01,,
0.1235,7.39E+00,1.34E-01,,
0.124,7.51E+00,1.34E-01,,
0.1245,7.64E+00,1.34E-01,,
0.125,7.70E+00,1.34E-01,,
0.1255,7.83E+00,1.34E-01,,
0.126,7.95E+00,1.34E-01,,
0.1265,8.08E+00,1.34E-01,,
0.127,8.14E+00,1.34E-01,,
0.1275,8.20E+00,1.34E-01,,
0.128,8.33E+00,1.34E-01,,
0.1285,8.39E+00,1.34E-01,,
0.129,8.45E+00,1.34E-01,,
0.1295,8.51E+00,1.34E-01,,
0.13,8.58E+00,1.34E-01,,
0.1305,8.58E+00,1.34E-01,,
0.131,8.64E+00,1.34E-01,,
0.1315,8.70E+00,1.34E-01,,
0.132,8.70E+00,1.34E-01,,
0.1325,8.70E+00,1.34E-01,,
0.133,8.70E+00,1.34E-01,,
0.1335,8.70E+00,1.34E-01,,
0.134,8.70E+00,1.34E-01,,
0.1345,8.70E+00,1.34E-01,,
0.135,8.58E+00,1.34E-01,,
0.1355,8.58E+00,1.34E-01,,
0.136,8.51E+00,1.34E-01,,
0.1365,8.51E+00,1.34E-01,,
0.137,8.39E+00,1.34E-01,,
0.1375,8.26E+00,1.34E-01,,
0.138,8.33E+00,1.34E-01,,
0.1385,8.14E+00,1.34E-01,,
0.139,8.14E+00,1.34E-01,,
0.1395,7.95E+00,1.34E-01,,
0.14,7.95E+00,1.34E-01,,
0.1405,7.76E+00,1.34E-01,,
0.141,7.64E+00,1.34E-01,,
0.1415,7.51E+00,1.34E-01,,
0.142,7.39E+00,1.34E-01,,
0.1425,7.26E+00,1.34E-01,,
0.143,7.14E+00,1.34E-01,,
0.1435,6.95E+00,1.34E-01,,
0.144,6.83E+00,1.34E-01,,
0.1445,6.64E+00,1.34E-01,,
0.145,6.51E+00,1.34E-01,,
0.1455,6.33E+00,1.34E-01,,
0.146,6.14E+00,1.34E-01,,
0.1465,6.08E+00,1.34E-01,,
0.147,5.89E+00,1.34E-01,,
0.1475,5.70E+00,1.34E-01,,
0.148,5.51E+00,1.34E-01,,
0.1485,5.39E+00,1.34E-01,,
0.149,5.20E+00,1.34E-01,,
0.1495,4.95E+00,1.34E-01,,
0.15,4.89E+00,1.34E-01,,
0.1505,4.70E+00,1.34E-01,,
0.151,4.51E+00,1.34E-01,,
0.1515,4.33E+00,1.34E-01,,
0.152,4.08E+00,1.34E-01,,
0.1525,3.89E+00,1.34E-01,,
0.153,3.83E+00,1.34E-01,,
0.1535,3.64E+00,1.34E-01,,
0.154,3.45E+00,1.34E-01,,
0.1545,3.26E+00,1.34E-01,,
0.155,3.20E+00,1.34E-01,,
0.1555,3.01E+00,1.34E-01,,
0.156,2.83E+00,1.34E-01,,
0.1565,2.70E+00,1.34E-01,,
0.157,2.58E+00,1.34E-01,,
0.1575,2.51E+00,1.34E-01,,
0.158,2.39E+00,1.34E-01,,
0.1585,2.20E+00,1.34E-01,,
0.159,2.08E+00,1.34E-01,,
0.1595,1.95E+00,1.34E-01,,
0.16,1.83E+00,1.34E-01,,
0.1605,1.76E+00,1.34E-01,,
0.161,1.76E+00,1.34E-01,,
0.1615,1.64E+00,1.34E-01,,
0.162,1.51E+00,1.34E-01,,
0.1625,1.45E+00,1.34E-01,,
0.163,1.45E+00,1.34E-01,,
0.1635,1.33E+00,1.34E-01,,
0.164,1.39E+00,1.34E-01,,
0.1645,1.33E+00,1.34E-01,,
0.165,1.33E+00,1.34E-01,,
0.1655,1.33E+00,1.34E-01,,
0.166,1.26E+00,1.34E-01,,
0.1665,1.20E+00,1.34E-01,,
0.167,1.26E+00,1.34E-01,,
0.1675,1.26E+00,1.34E-01,,
0.168,1.33E+00,1.34E-01,,
0.1685,1.45E+00,1.34E-01,,
0.169,1.45E+00,1.34E-01,,
0.1695,1.45E+00,1.34E-01,,
0.17,1.51E+00,1.34E-01,,
0.1705,1.58E+00,1.34E-01,,
0.171,1.64E+00,1.34E-01,,
0.1715,1.70E+00,1.34E-01,,
0.172,1.83E+00,1.34E-01,,
0.1725,1.89E+00,1.34E-01,,
0.173,2.08E+00,1.34E-01,,
0.1735,2.14E+00,1.34E-01,,
0.174,2.26E+00,1.34E-01,,
0.1745,2.39E+00,1.34E-01,,
0.175,2.51E+00,1.34E-01,,
0.1755,2.51E+00,1.34E-01,,
0.176,2.70E+00,1.34E-01,,
0.1765,2.89E+00,1.34E-01,,
0.177,3.01E+00,1.34E-01,,
0.1775,3.20E+00,1.34E-01,,
0.178,3.39E+00,1.34E-01,,
0.1785,3.51E+00,1.34E-01,,
0.179,3.70E+00,1.34E-01,,
0.1795,3.89E+00,1.34E-01,,
0.18,4.08E+00,1.34E-01,,
0.1805,4.20E+00,1.34E-01,,
0.181,4.39E+00,1.34E-01,,
0.1815,4.51E+00,1.34E-01,,
0.182,4.76E+00,1.34E-01,,
0.1825,4.95E+00,1.34E-01,,
0.183,5.14E+00,1.34E-01,,
0.1835,5.26E+00,1.34E-01,,
0.184,5.39E+00,1.34E-01,,
0.1845,5.58E+00,1.34E-01,,
0.185,5.76E+00,1.34E-01,,
0.1855,5.95E+00,1.34E-01,,
0.186,6.08E+00,1.34E-01,,
0.1865,6.26E+00,1.34E-01,,
0.187,6.45E+00,1.34E-01,,
0.1875,6.58E+00,1.34E-01,,
0.188,6.76E+00,1.34E-01,,
0.1885,6.89E+00,1.34E-01,,
0.189,7.08E+00,1.34E-01,,
0.1895,7.26E+00,1.34E-01,,
0.19,7.33E+00,1.34E-01,,
0.1905,7.45E+00,1.34E-01,,
0.191,7.58E+00,1.34E-01,,
0.1915,7.70E+00,1.34E-01,,
0.192,7.83E+00,1.34E-01,,
0.1925,7.89E+00,1.34E-01,,
0.193,8.08E+00,1.34E-01,,
0.1935,8.14E+00,1.34E-01,,
0.194,8.20E+00,1.34E-01,,
0.1945,8.33E+00,1.34E-01,,
0.195,8.39E+00,1.34E-01,,
0.1955,8.39E+00,1.34E-01,,
0.196,8.45E+00,1.34E-01,,
0.1965,8.58E+00,1.34E-01,,
0.197,8.51E+00,1.34E-01,,
0.1975,8.64E+00,1.34E-01,,
0.198,8.70E+00,1.34E-01,,
0.1985,8.70E+00,1.34E-01,,
0.199,8.64E+00,1.34E-01,,
0.1995,8.70E+00,1.34E-01,,
0.2,8.70E+00,1.34E-01,,
0.2005,8.70E+00,1.34E-01,,
0.201,8.70E+00,1.34E-01,,
0.2015,8.64E+00,1.34E-01,,
0.202,8.64E+00,1.34E-01,,
0.2025,8.58E+00,1.34E-01,,
0.203,8.51E+00,1.34E-01,,
0.2035,8.45E+00,1.34E-01,,
0.204,8.33E+00,1.34E-01,,
0.2045,8.26E+00,1.34E-01,,
0.205,8.14E+00,1.34E-01,,
0.2055,8.14E+00,1.34E-01,,
0.206,8.01E+00,1.34E-01,,
0.2065,7.95E+00,1.35E-01,,
0.207,7.83E+00,1.35E-01,,
0.2075,7.70E+00,1.34E-01,,
0.208,7.58E+00,1.34E-01,,
0.2085,7.45E+00,1.34E-01,,
0.209,7.33E+00,1.34E-01,,
0.2095,7.20E+00,1.34E-01,,
0.21,7.08E+00,1.34E-01,,
0.2105,6.95E+00,1.34E-01,,
0.211,6.70E+00,1.34E-01,,
0.2115,6.64E+00,1.34E-01,,
0.212,6.45E+00,1.34E-01,,
0.2125,6.26E+00,1.34E-01,,
0.213,6.14E+00,1.34E-01,,
0.2135,5.95E+00,1.34E-01,,
0.214,5.76E+00,1.34E-01,,
0.2145,5.58E+00,1.34E-01,,
0.215,5.39E+00,1.34E-01,,
0.2155,5.20E+00,1.34E-01,,
0.216,5.08E+00,1.34E-01,,
0.2165,4.89E+00,1.34E-01,,
0.217,4.70E+00,1.34E-01,,
0.2175,4.45E+00,1.34E-01,,
0.218,4.39E+00,1.34E-01,,
0.2185,4.14E+00,1.34E-01,,
0.219,4.01E+00,1.34E-01,,
0.2195,3.89E+00,1.34E-01,,
0.22,3.76E+00,1.34E-01,,
0.2205,3.51E+00,1.34E-01,,
0.221,3.33E+00,1.34E-01,,
0.2215,3.20E+00,1.34E-01,,
0.222,3.08E+00,1.34E-01,,
0.2225,2.83E+00,1.34E-01,,
0.223,2.76E+00,1.34E-01,,
0.2235,2.70E+00,1.34E-01,,
0.224,2.45E+00,1.34E-01,,
0.2245,2.39E+00,1.34E-01,,
0.225,2.26E+00,1.34E-01,,
