second,input,output
0.00524,3.08E+00,1.37E-01
0.00526,2.95E+00,1.37E-01
0.00528,2.89E+00,1.37E-01
0.0053,2.70E+00,1.37E-01
0.00532,2.64E+00,1.38E-01
0.00534,2.51E+00,1.38E-01
0.00536,2.45E+00,1.37E-01
0.00538,2.33E+00,1.38E-01
0.0054,2.26E+00,1.38E-01
0.00542,2.20E+00,1.39E-01
0.00544,2.08E+00,1.39E-01
0.00546,1.95E+00,1.38E-01
0.00548,1.89E+00,1.39E-01
0.0055,1.83E+00,1.39E-01
0.00552,1.76E+00,1.39E-01
0.00554,1.76E+00,1.38E-01
0.00556,1.58E+00,1.39E-01
0.00558,1.58E+00,1.39E-01
0.0056,1.51E+00,1.39E-01
0.00562,1.45E+00,1.40E-01
0.00564,1.39E+00,1.39E-01
0.00566,1.33E+00,1.39E-01
0.00568,1.33E+00,1.39E-01
0.0057,1.39E+00,1.39E-01
0.00572,1.33E+00,1.40E-01
0.00574,1.26E+00,1.40E-01
0.00576,1.33E+00,1.40E-01
0.00578,1.33E+00,1.40E-01
0.0058,1.33E+00,1.40E-01
0.00582,1.26E+00,1.40E-01
0.00584,1.33E+00,1.40E-01
0.00586,1.33E+00,1.39E-01
0.00588,1.39E+00,1.40E-01
0.0059,1.39E+00,1.40E-01
0.00592,1.39E+00,1.40E-01
0.00594,1.39E+00,1.39E-01
0.00596,1.45E+00,1.40E-01
0.00598,1.51E+00,1.39E-01
0.006,1.58E+00,1.39E-01
0.00602,1.64E+00,1.39E-01
0.00604,1.70E+00,1.40E-01
0.00606,1.76E+00,1.39E-01
0.00608,1.83E+00,1.39E-01
0.0061,1.95E+00,1.39E-01
0.00612,2.08E+00,1.39E-01
0.00614,2.08E+00,1.39E-01
0.00616,2.14E+00,1.39E-01
0.00618,2.33E+00,1.38E-01
0.0062,2.39E+00,1.38E-01
0.00622,2.51E+00,1.38E-01
0.00624,2.58E+00,1.38E-01
0.00626,2.64E+00,1.38E-01
0.00628,2.70E+00,1.38E-01
0.0063,2.83E+00,1.38E-01
0.00632,2.95E+00,1.37E-01
0.00634,3.08E+00,1.37E-01
0.00636,3.26E+00,1.37E-01
0.00638,3.33E+00,1.37E-01
0.0064,3.51E+00,1.37E-01
0.00642,3.58E+00,1.36E-01
0.00644,3.70E+00,1.36E-01
0.00646,3.89E+00,1.36E-01
0.00648,3.95E+00,1.35E-01
0.0065,4.14E+00,1.35E-01
0.00652,4.33E+00,1.36E-01
0.00654,4.39E+00,1.36E-01
0.00656,4.58E+00,1.35E-01
0.00658,4.70E+00,1.35E-01
0.0066,4.83E+00,1.35E-01
0.00662,4.95E+00,1.34E-01
0.00664,5.20E+00,1.34E-01
0.00666,5.26E+00,1.33E-01
0.00668,5.45E+00,1.34E-01
0.0067,5.58E+00,1.34E-01
0.00672,5.70E+00,1.34E-01
0.00674,5.89E+00,1.33E-01
0.00676,5.95E+00,1.32E-01
