in s,C1 in V
-2.48900E-04,2.88340E-01
-2.48896E-04,2.85879E-01
-2.48892E-04,2.81777E-01
-2.48888E-04,2.85059E-01
-2.48884E-04,2.80957E-01
-2.48880E-04,2.81777E-01
-2.48876E-04,2.80957E-01
-2.48872E-04,2.80137E-01
-2.48868E-04,2.80137E-01
-2.48864E-04,2.79316E-01
-2.48860E-04,2.78496E-01
-2.48856E-04,2.76855E-01
-2.48852E-04,2.77676E-01
-2.48848E-04,2.76035E-01
-2.48844E-04,2.76035E-01
-2.48840E-04,2.72754E-01
-2.48836E-04,2.71934E-01
-2.48832E-04,2.71934E-01
-2.48828E-04,2.67012E-01
-2.48824E-04,2.71113E-01
-2.48820E-04,2.66191E-01
-2.48816E-04,2.66191E-01
-2.48812E-04,2.67012E-01
-2.48808E-04,2.65371E-01
-2.48804E-04,2.61270E-01
-2.48800E-04,2.61270E-01
-2.48796E-04,2.58809E-01
-2.48792E-04,2.58809E-01
-2.48788E-04,2.59629E-01
-2.48784E-04,2.58809E-01
-2.48780E-04,2.59629E-01
-2.48776E-04,2.57168E-01
-2.48772E-04,2.55527E-01
-2.48768E-04,2.57988E-01
-2.48764E-04,2.53066E-01
-2.48760E-04,2.53066E-01
-2.48756E-04,2.52246E-01
-2.48752E-04,2.49785E-01
-2.48748E-04,2.48965E-01
-2.48744E-04,2.46504E-01
-2.48740E-04,2.46504E-01
-2.48736E-04,2.46504E-01
-2.48732E-04,2.41582E-01
-2.48728E-04,2.44043E-01
-2.48724E-04,2.39941E-01
-2.48720E-04,2.41582E-01
-2.48716E-04,2.41582E-01
-2.48712E-04,2.36660E-01
-2.48708E-04,2.38301E-01
-2.48704E-04,2.35020E-01
-2.48700E-04,2.34199E-01
-2.48696E-04,2.34199E-01
-2.48692E-04,2.28457E-01
-2.48688E-04,2.32559E-01
-2.48684E-04,2.31738E-01
-2.48680E-04,2.28457E-01
-2.48676E-04,2.26816E-01
-2.48672E-04,2.26816E-01
-2.48668E-04,2.23535E-01
-2.48664E-04,2.25176E-01
-2.48660E-04,2.19434E-01
-2.48656E-04,2.21074E-01
-2.48652E-04,2.19434E-01
-2.48648E-04,2.16152E-01
-2.48644E-04,2.16973E-01
-2.48640E-04,2.19434E-01
-2.48636E-04,2.13691E-01
-2.48632E-04,2.13691E-01
-2.48628E-04,2.11230E-01
-2.48624E-04,2.10410E-01
-2.48620E-04,2.12051E-01
-2.48616E-04,2.08770E-01
-2.48612E-04,2.03848E-01
-2.48608E-04,2.05488E-01
-2.48604E-04,2.04668E-01
-2.48600E-04,2.00566E-01
-2.48596E-04,2.01387E-01
-2.48592E-04,1.98926E-01
-2.48588E-04,2.00566E-01
-2.48584E-04,1.98926E-01
-2.48580E-04,1.94004E-01
-2.48576E-04,1.94004E-01
-2.48572E-04,1.92363E-01
-2.48568E-04,1.92363E-01
-2.48564E-04,1.90723E-01
-2.48560E-04,1.89082E-01
-2.48556E-04,1.88262E-01
-2.48552E-04,1.85801E-01
-2.48548E-04,1.84160E-01
-2.48544E-04,1.81699E-01
-2.48540E-04,1.80879E-01
-2.48536E-04,1.78418E-01
-2.48532E-04,1.77598E-01
-2.48528E-04,1.76777E-01
-2.48524E-04,1.75137E-01
-2.48520E-04,1.75957E-01
-2.48516E-04,1.73496E-01
-2.48512E-04,1.69395E-01
-2.48508E-04,1.69395E-01
-2.48504E-04,1.67754E-01
-2.48500E-04,1.65293E-01
-2.48496E-04,1.64473E-01
-2.48492E-04,1.65293E-01
-2.48488E-04,1.63652E-01
-2.48484E-04,1.60371E-01
-2.48480E-04,1.59551E-01
-2.48476E-04,1.56270E-01
-2.48472E-04,1.56270E-01
-2.48468E-04,1.55449E-01
-2.48464E-04,1.52988E-01
-2.48460E-04,1.53809E-01
-2.48456E-04,1.48066E-01
-2.48452E-04,1.48887E-01
-2.48448E-04,1.47246E-01
-2.48444E-04,1.45605E-01
-2.48440E-04,1.45605E-01
-2.48436E-04,1.45605E-01
-2.48432E-04,1.41504E-01
-2.48428E-04,1.39863E-01
-2.48424E-04,1.38223E-01
-2.48420E-04,1.37402E-01
-2.48416E-04,1.34121E-01
-2.48412E-04,1.34941E-01
-2.48408E-04,1.31660E-01
-2.48404E-04,1.33301E-01
-2.48400E-04,1.27559E-01
-2.48396E-04,1.26738E-01
-2.48392E-04,1.26738E-01
-2.48388E-04,1.25918E-01
-2.48384E-04,1.20176E-01
-2.48380E-04,1.22637E-01
-2.48376E-04,1.17715E-01
-2.48372E-04,1.18535E-01
-2.48368E-04,1.14434E-01
-2.48364E-04,1.15254E-01
-2.48360E-04,1.11973E-01
-2.48356E-04,1.11152E-01
-2.48352E-04,1.08691E-01
-2.48348E-04,1.07051E-01
-2.48344E-04,1.07871E-01
-2.48340E-04,1.05410E-01
-2.48336E-04,1.02949E-01
-2.48332E-04,1.02129E-01
-2.48328E-04,9.96680E-02
-2.48324E-04,9.88477E-02
-2.48320E-04,9.63867E-02
-2.48316E-04,9.47461E-02
-2.48312E-04,9.80273E-02
-2.48308E-04,9.06445E-02
-2.48304E-04,9.06445E-02
-2.48300E-04,9.22852E-02
-2.48296E-04,8.40820E-02
-2.48292E-04,8.57227E-02
-2.48288E-04,8.40820E-02
-2.48284E-04,8.08008E-02
-2.48280E-04,8.32617E-02
-2.48276E-04,7.91602E-02
-2.48272E-04,7.66992E-02
-2.48268E-04,7.75195E-02
-2.48264E-04,7.66992E-02
-2.48260E-04,7.01367E-02
-2.48256E-04,7.09570E-02
-2.48252E-04,6.68555E-02
-2.48248E-04,6.84961E-02
-2.48244E-04,6.52148E-02
-2.48240E-04,6.52148E-02
-2.48236E-04,6.35742E-02
-2.48232E-04,6.19336E-02
-2.48228E-04,5.78320E-02
-2.48224E-04,5.61914E-02
-2.48220E-04,5.53711E-02
-2.48216E-04,5.61914E-02
-2.48212E-04,5.45508E-02
-2.48208E-04,5.29102E-02
-2.48204E-04,5.12695E-02
-2.48200E-04,4.63477E-02
-2.48196E-04,4.55273E-02
-2.48192E-04,4.47070E-02
-2.48188E-04,4.30664E-02
-2.48184E-04,3.81445E-02
-2.48180E-04,3.97852E-02
-2.48176E-04,3.89648E-02
-2.48172E-04,3.48633E-02
-2.48168E-04,3.24023E-02
-2.48164E-04,3.32227E-02
-2.48160E-04,2.99414E-02
-2.48156E-04,2.50195E-02
-2.48152E-04,2.74805E-02
-2.48148E-04,2.66602E-02
-2.48144E-04,2.50195E-02
-2.48140E-04,2.17383E-02
-2.48136E-04,1.92773E-02
-2.48132E-04,1.68164E-02
-2.48128E-04,2.09180E-02
-2.48124E-04,1.59961E-02
-2.48120E-04,1.59961E-02
-2.48116E-04,1.10742E-02
-2.48112E-04,1.02539E-02
-2.48108E-04,9.43359E-03
-2.48104E-04,8.61328E-03
-2.48100E-04,7.79297E-03
-2.48096E-04,5.33203E-03
-2.48092E-04,2.87109E-03
-2.48088E-04,4.10156E-04
-2.48084E-04,-1.23047E-03
-2.48080E-04,-2.87109E-03
-2.48076E-04,-3.69141E-03
-2.48072E-04,-6.15234E-03
-2.48068E-04,-7.79297E-03
-2.48064E-04,-1.02539E-02
-2.48060E-04,-1.10742E-02
-2.48056E-04,-1.27148E-02
-2.48052E-04,-1.18945E-02
-2.48048E-04,-1.76367E-02
-2.48044E-04,-1.92773E-02
-2.48040E-04,-2.00977E-02
-2.48036E-04,-2.17383E-02
-2.48032E-04,-2.17383E-02
-2.48028E-04,-2.41992E-02
-2.48024E-04,-2.50195E-02
-2.48020E-04,-2.83008E-02
-2.48016E-04,-2.66602E-02
-2.48012E-04,-3.24023E-02
-2.48008E-04,-2.99414E-02
-2.48004E-04,-3.48633E-02
-2.48000E-04,-3.40430E-02
-2.47996E-04,-3.56836E-02
-2.47992E-04,-3.89648E-02
-2.47988E-04,-4.22461E-02
-2.47984E-04,-4.22461E-02
-2.47980E-04,-4.47070E-02
-2.47976E-04,-4.55273E-02
-2.47972E-04,-4.79883E-02
-2.47968E-04,-4.63477E-02
-2.47964E-04,-5.12695E-02
-2.47960E-04,-5.37305E-02
-2.47956E-04,-5.45508E-02
-2.47952E-04,-5.45508E-02
-2.47948E-04,-5.94727E-02
-2.47944E-04,-5.78320E-02
-2.47940E-04,-6.11133E-02
-2.47936E-04,-6.02930E-02
-2.47932E-04,-6.68555E-02
-2.47928E-04,-6.52148E-02
-2.47924E-04,-6.84961E-02
-2.47920E-04,-6.84961E-02
-2.47916E-04,-7.17773E-02
-2.47912E-04,-7.25977E-02
-2.47908E-04,-7.50586E-02
-2.47904E-04,-7.50586E-02
-2.47900E-04,-7.66992E-02
-2.47896E-04,-7.75195E-02
-2.47892E-04,-8.08008E-02
-2.47888E-04,-8.40820E-02
-2.47884E-04,-8.24414E-02
-2.47880E-04,-8.40820E-02
-2.47876E-04,-8.90039E-02
-2.47872E-04,-8.81836E-02
-2.47868E-04,-9.06445E-02
-2.47864E-04,-9.06445E-02
-2.47860E-04,-9.31055E-02
-2.47856E-04,-9.63867E-02
-2.47852E-04,-9.47461E-02
-2.47848E-04,-1.00488E-01
-2.47844E-04,-1.02949E-01
-2.47840E-04,-1.00488E-01
-2.47836E-04,-1.02129E-01
-2.47832E-04,-1.05410E-01
-2.47828E-04,-1.07871E-01
-2.47824E-04,-1.07871E-01
-2.47820E-04,-1.11152E-01
-2.47816E-04,-1.09512E-01
-2.47812E-04,-1.16074E-01
-2.47808E-04,-1.16895E-01
-2.47804E-04,-1.15254E-01
-2.47800E-04,-1.17715E-01
-2.47796E-04,-1.19355E-01
-2.47792E-04,-1.20176E-01
-2.47788E-04,-1.21816E-01
-2.47784E-04,-1.23457E-01
-2.47780E-04,-1.24277E-01
-2.47776E-04,-1.29199E-01
-2.47772E-04,-1.30020E-01
-2.47768E-04,-1.27559E-01
-2.47764E-04,-1.32480E-01
-2.47760E-04,-1.33301E-01
-2.47756E-04,-1.34121E-01
-2.47752E-04,-1.34941E-01
-2.47748E-04,-1.39043E-01
-2.47744E-04,-1.39863E-01
-2.47740E-04,-1.38223E-01
-2.47736E-04,-1.42324E-01
-2.47732E-04,-1.43965E-01
-2.47728E-04,-1.45605E-01
-2.47724E-04,-1.48066E-01
-2.47720E-04,-1.46426E-01
-2.47716E-04,-1.48887E-01
